heading,content
"Vol. 84 No. 1 Bucknell University, Lewisburg, Pa.",
"O'Brien, Smith",
give personnel,
choice to deans,"By DAVID HAWKINGS University President Dennis O'Brien has removed himself and Provost Wendell Smith from ac tive participation in personnel matters as part of a partial reassigning of responsibility within the administration. O'Brien this summer made the decision to give ""primary respon sibility"" for decisionmaking on matters of appointments, reap pointments, tenure, promotion and salary distribution to the deans of the College of Arts and Sciences and Engineering, effec tive at the beginning of this semester. The additional burden placed on the office of Arts and Sciences Dean Robert Chambers has in part prompted the president to also name Professor of Chem istry Manning Smith to the newly created post of associate dean of the college for special projects. Smith's primary responsibility, however, will be to examine ad ministrative and faculty struc tures as a ""means of enhancing collegiality within the Universi ty,"" according to a letter sent to the faculty June 27 by O'Brien. The appointment of Smith to the three-year temporary posi tion and the shifting of respon sibility for personnel decisions are meant to remove the ""ge nuine confusion"" and ""dissatis faction"" expressed by both the faculty and the administration- including the president and provost--about the division of power in staff hiring and firing, O'Brien said. In the past, questions concern ing personnel matters have been referred to the offices of the president, the provost, the two deans, department chairman and assorted other faculty and staff, creating a confusion ""among almost everybody"" -- according to O'Brien -- as to who acted and who spoke for the University. The president said he was not ""backing out"" of working on the often-sensitive areas of tenure and merit salary increases."
MANNING SMITH,"In his letter to the faculty, O'Brien said he would remain ""a half-step back from personnel decisions,"" but in an interview Wednesday he said he ""cannot conceive of reversing a decision"" made by the deans. The provost will remain as dis tant from the actions taken by Chambers and Engineering Dean Barry Maxwell, but both he and the president will continue to give final review to all decisions before passing them to the board of trustees for final approval. Wendell Smith's role in the ad ministration will now focus more closely on matters of University planning and overall policy. O'Brien said he will now concen trate his efforts in development and fund raising for the multi million dollar ""Campaign for the 80s"" to be announced within the year. Assistant to the Provost Judith Becker will continue to review all matters of employment because of her dual role as the Universi ty's Affirmative Action Officer. Manning Smith, Chambers and Maxwell will constitute a ""kind of administrative tenure commit tee"" because of the reorganiza tion, Chambers said. No increase in salary is planned for the new dean, who has taught here since 1946. It is not known yet if Smith will retire when his position in the College of Arts and Sciences ends in 1983. He will continue to teach part- time in chemistry until then."
Officers endorse union;,
security changes slated,"By TRICIA KENNEDY A reorganization of Campus Security under the direction of Vice President for Administra tion and Finance John Zeller has resulted in increased hostilities between the security officers and the administration, according to both the officers and Zeller. This reorganization plan comes on the heels of a vote by security personnel to join a union several months ago. They are the first workers' group to unionize in the history of the University. In the first formal meeting be tween the two sides since the union vote, Security Corporal Ed Roberts -- who represents the of ficers -- the union local president and the local's lawyer presented University Controller F. Ellis Harley Tuesday with a list of demands including better work ing conditions, a wage increase and improved retirement bene fits. Harley was acting in place of Zeller, who had routine surgery the previous day. The administration's decision to restructure security -- a step which involves replacing Chief of Security Norman Fine with a new security director -- has led to speculation that the University administration is forcing Fine to retire. Zeller denied this, saying Fine ""had indicated a desire to retire."" Plans for restructuring the department have also been underway ""for some time,"" he said. The administration postponed advertising for a new director un til after the union election because ""It was not appropriate to indicate we were going to change the structure (of campus security) or reorganize it in the middle of the election process,"" according to Zeller. Provisions for the newly created post require that the ap plicant hold a bachelor's degree, preferably in the administration of justice or a related field. Preferred qualifications are a master's degree in public safety m a n a g e m e n t and a demonstrated ability in exerting leadership in a campus environ ment in order to promote student safety and welfare, according to the published job description. Zeller said he hopes to improve the quality of campus security by only looking at candidates from outside the present staff. The responsibilities of the new director will include fire safety, accident prevention, hazardous waste disposal and enforcement of the Occupational Safety and Hazards Act. ""We wanted this not to be just a law enforcement job,"" Zeller said. But Roberts contends the ad ministration is ""choosing to ig nore the fact"" that the University already has a chief of security See SECURITY, page 6"
Campus welcomes newcomers--page 12,
INSIDE,
New vice president hired--page 3,
Freshman stereo wars--page 9,
Southside and the Jukes--page 15,
AFC football predictions--page 21,
Crackdown on drinking to leave Greek-Week dry,"By THOMAS DeCAIN A shift in administration policy toward the enforcement of campus alcohol con sumption regulations has made the hall party and Swartz field beer celebrations a thing of the past. University policy states that ""The con sumption of alcoholic beverages is pro hibited in the main public rooms or similar common areas of the residence halls, in non-residential University buildings, and out-of-doors on the campus."" However, tacit approval for keg parties has been the standard. Gerald Commer- ford, associate director of residential life, said he has ""looked the other way"" when hall parties were held in the past. Such will not be the case this year, Com- merford said. The University is now seek ing to strictly enforce the policy this year. Last year, beer was served at Swartz field during Greek Weekend festivities. The beer was served in the parking lot of an adjacent fraternity, while most of it was consumed on University-owned Swartz field. This year, however, alcohol will not be served outdoors. Fraternities will provide the beverages only in their houses. The graduation tent party, a University- sponsored event, also disposes a large volume of beer. Traditionally held at the athletic field next to the Davis Gym nasium, the party will be held again this year and will continue to serve beer, ac cording to Commerford. Hall parties which serve alcohol in ""public rooms"" or in ""common areas"" are prohibited. Fraternities and sororities are permitted to serve alcohol because they are privately owned or independently operated. Most fraternities are owned by a national headquarters, and each sorority rents its suite from the University. Although ""The consumption of alcoholic beverages is prohibited in...and out-of- doors on campus,"" Commerford said that ""if we tried to change the entire behavior of students at once--especially all over the campus--that would require many Gerry Commerfords."" Persons have rarely been detained or ar rested by Campus Security, but it is uncer tain by what means the University will en force this rule. According to Resident Director for Roberts Hall, Libet Hall '80, ""Parties should not oe just for one to get smashed. Bucknell is looking beyond that and is try ing to have a greater concern for the in dividual. The law is important but secon dary."" Residential Life, upon making its deci sion, informed its resident directors and the resident assistants of the outcome. At the first scheduled hall meeting the resi dent assistants were instructed to remind See GREEK-WEEK, page 7"
NEWS,
"Friday, September 12,1980",
Page 2,
COMING EVENTS,# -
FILMS,"Today, 8:00"
p.m.,"-- Hilltop: ""Umberto D."" Vaughn Lit. Aud."
ARTS,"Today, 7:00"
p.m.,"-- Theatre Ensemble: ""Zoo Story."" U. C. Cave. Today, 9:00"
p.m.,"-- Theatre Ensemble: ""The Island."" U. C. Cave. Saturday, 7:00"
p.m.,"-- Theatre Ensemble: ""Zoo Story."" U. C. Cave. Saturday, 9:00"
p.m.,"-- Theatre Ensemble: ""The Island "" U. C. Cave. Sunday, 8:15"
p.m.,-- Performing Arts Series: Fitzwilliam String Quartet. Rooke Chapel. Photo--Mike Koriwchak
Diane Burko's paintings are currently on display in the Center,
"."" U^G",
Gallery. Seepage,16. Cave.
Classifieds,
Send classifieds with payment to Box C-3059,
or bring them to the Bucknellian office.,
CLASSIFIED AD FORM,
Say something--$1.00 for up to ten words--5 cents,
for each additional word.,
Category.,
FOR SALE,
WANTED,
FOR RENT,
MISC.,
(circle one),
MESSAGE:,
__________,
_,
_____________________________,
COME LOOK US,
OVER . . .,
We're A Little Different,
W,
J L  P a a  P e M r,
417 Market Street,
Campus Theatre Building,
"Lewisburg, Pa.",
Daily 10-5,
Fri. 'til 9,
Master,
Charge,\ r * ^
V isa,
RELIGION,"Today, 6:30 p.m. -- Jewish Ser vices. Martin House. Sunday, 11:00 a.m. -- Chapel: The Rev. Evelyn Newman. Rooke Chapel. Sunday, 4:00 p.m. -- Catholic Mass. Rooke Chapel. Sunday, 10:30 a.m. -- Coffee Hour. Meditation Chapel. Sunday, 11:00 a.m. -- Cof feehouse Auditions (Through 6:00 p.m.). U. C. Cave."
MISCELLANEOUS,Saturday 11:00 a.m. -- Cof feehouse Auditions (Through 6:00 p.m.). U. C. Cave.
CLASSIFIEDS,
HELP WANTED--Hiring full,
time and part-time personnel.,
Apply in person between 2,
and 4 p.m. at Durango Steak,
"House, Rt. 15 in Lewisburg.",
HELP WANTED--Student se,
curity assistants to work hours,
of 9 p.m. to 2 a.m. Will,
train. Rotating shift Tues.-,
"Sat. Contact Chief Fine, Phys",
ical Plant: 1911.,
FOR SALE--Point 3.6 white,
gold diamond engagement,
ring. Call 523-6029._____________,
"MISC.--In Leadership, Friend",
ship and Service--Alpha Phi,
Omega,
Service,
Fraternity,
wants you.,
MISC.: Little Kimmy -- How,
we long for the days of sink,
time. Your News and Sports,
Eds.,
FOR SALE-- Responsible party,
wanted to take over low,
monthly payments on spinet,
piano. Can be seen locally.,
"Write Credit Manager, P.O.",
"Box 33, Friedens, Pa. 15541.",
FOR,
SALE--Men's,
27-inch,
Schwinn,
"Varsity,",
21-inch,
"frame, refurnished: $55. Foot-",
locker/chair also. Call 524-,
7028.,
_____________________________,
"SERVICE--Academic research,",
all fields. Save time and im,
prove your grades. Send $1,
"for catalog of over 12,000",
topics.,
Authors',
"Research,",
"Suite 600-A, 407 S. Dearborn",
"St., Chicago, III. 60605. (312)",
922-0300.,
MISC.: Happy Birthday to Jim,
Howland from all of us at the,
Bucknelliun.,
MISC.: To the staff: 1 down,
and 10 to go. Keep up the,
good work.--KQ,
WANTED: Typists for the Buck,
nellian Tuesday and Wednes,
"day evenings, hours to be ar",
ranged. Good pay. Call Rob,
bie at 1152.,
MISC.: A.A.D.A.--Good luck,
"in the law, we're with you all",
"the way. Of course, we do",
have our loyalties . . . Go BU!,
Beat U. Conn.! Two good,
friends.,
Texas Instruments,
electronic slide-rule calculator,
TI-30,
J/-30,$18.50 sug. retail
7Y\(LtJ\ IC it:,
